schoolid,math,sci,read,minority,ses,female,public,schoolsize,urban,rural
24053,18.71,12.48,13.95,0,-0.404,1,1,900,1,0
68185,43.05,22.45,34.05,0,-0.073,1,1,500,0,0
6091,19.48,13.55,22.8,0,-0.636,1,0,100,0,0
7356,36.54,17.13,34.8,0,0.079,1,1,300,0,1
7662,45.07,26.99,27.44,0,-0.448,0,1,900,1,0
45870,33.8,22.04,29.74,0,-0.784,1,1,900,0,0
68030,22.57,12.96,19.42,1,-0.809,0,1,900,1,0
24838,24.68,9.96,14.89,0,-1.382,0,1,900,0,1
46155,38.35,17.51,28.47,1,-0.663,1,0,300,1,0
47130,61.66,20.8,39.69,0,0.025,1,0,300,0,0
7357,42.17,19.73,10.91,0,-0.075,0,1,900,0,0
47184,37.32,19.78,25.25,0,0.588,1,0,300,0,0
7557,46.17,19.3,17.97,0,-0.672,0,1,500,0,0
24680,23.94,14.94,17.99,0,-0.893,0,1,300,0,1
25572,22.44,14.01,20.57,1,-1.33,1,1,500,0,1
7494,52.19,21.88,39.6,0,-0.621,1,1,300,0,1
45918,49.81,22.84,39.85,0,0.719,1,1,900,0,1
24110,27.03,18.83,25.3,0,-0.072,1,1,300,0,0
24577,23.69,17.04,28.52,0,-0.181,1,1,700,0,1
7822,25.63,12.46,17.77,0,-0.591,1,1,700,0,1
25454,39.31,16.48,31.93,1,-0.727,1,1,300,0,1
45434,33.54,19.24,39.96,0,1.21,1,1,500,0,0
68068,49.04,24.79,42.63,0,0.549,1,1,700,0,1
7285,26.14,17.02,33.85,1,-0.088,1,1,500,0,0
7403,29.81,17.33,22.61,0,-0.027,1,1,1400,1,0
45366,34.08,16.41,23.08,1,-0.26,1,1,1100,1,0
46540,47.14,25.59,38.02,0,0.619,0,0,500,1,0
24820,21.14,13.57,15.56,1,-1.292,0,1,300,0,1
46911,21.77,17.98,18.07,0,-0.037,1,0,100,1,0
25400,18.89,15.78,24.13,0,-0.114,0,1,700,0,1
68254,57,22.43,30.64,1,-0.109,1,1,500,1,0
7194,27.05,16.43,18.51,0,-0.529,0,1,300,0,1
25667,20.6,16.14,22.96,1,-0.069,1,1,1100,1,0
54932,45.78,19.62,25.54,0,0.406,0,0,700,0,0
8399,18.22,12.25,25.89,1,-0.411,0,0,300,0,0
6053,25.55,20.85,38.02,0,0.402,1,0,500,1,0
24796,23.85,13.11,20.89,0,-1.227,0,1,500,0,1
29980,18.64,11.55,14.24,0,0.929,1,0,500,0,1
7285,17.75,11.35,11.06,0,-0.092,0,1,500,0,0
54752,51.01,26.23,40.25,0,1.177,0,0,500,1,0
45686,45.86,25.24,23.12,0,-0.167,1,1,300,0,1
45924,63.16,26.53,38.36,0,0.83,0,1,900,1,0
25825,31.09,21.75,22.97,0,-0.313,1,1,1400,1,0
25990,36.31,18.69,25.48,0,-0.28,1,1,500,0,1
25297,24.98,15.76,19.2,0,-1.564,1,1,300,0,1
7415,22.43,13.79,18.87,1,0.076,1,1,500,0,0
7439,23.83,10.28,18.15,0,-0.805,1,1,700,0,0
47583,32.43,18.8,37.97,0,-0.019,1,0,300,0,1
34786,31.04,18.21,24.57,0,-0.319,0,0,100,0,0
25261,42.29,19.48,28.76,0,0.423,0,1,700,0,0
25919,39.24,24.5,40.86,0,0.673,1,1,1100,0,0
54259,46.18,20.03,42.63,0,1.102,1,0,500,1,0
25545,35.47,17.65,17.46,1,-1.247,1,1,500,0,1
62360,42.63,18.67,27.66,0,0.607,0,0,1100,1,0
7096,21.92,12.14,14.25,0,-1.177,0,1,100,0,1
45805,33.98,23.18,23.82,0,0.293,0,1,500,0,1
62488,50.16,25.26,41.22,1,-0.202,0,0,500,1,0
1249,51.69,20.32,38.96,0,0.136,0,0,300,1,0
45078,28.33,17.03,18.76,0,0.17,0,1,500,0,0
7740,18.76,12.8,17.72,0,-0.419,1,1,300,0,0
68130,23.64,15.31,20.57,1,0.312,1,1,700,0,0
24240,42.52,18.85,36.1,0,0.386,0,1,1400,0,1
45497,43.44,19.01,31.62,1,-0.015,0,1,900,0,0
25360,19.98,14.3,11.84,1,-1.102,1,1,1400,1,0
45967,39.34,23.97,28.05,1,-0.781,0,1,500,0,0
7454,32.65,18.71,22.49,0,0.162,0,1,700,0,0
45385,20.9,15.81,26.06,1,-1.489,0,1,1400,1,0
14192,31.32,20.18,40.86,0,-0.216,0,0,300,0,0
45870,26,19.84,20.82,0,0.368,1,1,900,0,0
45338,25.19,9.92,12.52,0,-0.703,0,1,100,0,1
62220,44.86,22.36,43.83,1,1.05,1,0,300,0,0
24327,28.27,12.31,13.49,0,-1.179,0,1,900,0,0
7203,19.76,13.91,22.25,1,-1.369,1,1,500,1,0
25919,42.78,16.68,34.4,0,0.532,1,1,1100,0,0
45087,56.74,25.48,39.58,0,0.76,0,1,700,1,0
45678,29.88,16.09,20.18,1,-0.725,0,1,1100,0,0
25354,51.69,26.93,36.3,0,-0.116,1,1,700,1,0
6327,42.49,26.35,38.98,0,0.731,0,0,100,0,0
25835,25.56,12.69,15.43,1,-1.999,1,1,700,1,0
7192,39.86,18.03,28.2,0,-1.463,1,1,700,1,0
45270,31.14,16.1,21.72,0,-0.449,1,1,100,0,1
7622,23.55,13.68,17.25,0,0.634,1,1,900,0,0
45417,19.05,12.86,14.39,1,-0.496,0,1,500,0,0
68135,26.57,18.5,22.93,0,0.362,1,1,900,0,0
62377,26.3,15.57,20.48,1,0.53,0,0,300,0,0
14379,44.97,26.48,43.83,0,-0.679,0,0,700,0,0
7725,61.05,26.5,38.07,1,1.379,1,1,300,0,0
24216,26.29,14.37,25.15,0,-1.532,1,1,100,0,1
45216,19.62,10.35,11.8,1,0.32,1,1,1400,0,0
26373,28.63,21.23,24.7,0,0.923,0,0,300,0,0
29061,60.26,27.11,38.96,0,1.608,1,0,900,1,0
54354,53.85,12.13,20.25,1,0.703,0,0,700,1,0
25374,19.21,13,14.03,0,-0.674,0,1,900,0,1
7923,37.04,25.94,28.31,0,-0.361,1,1,700,0,1
45318,39.91,21.43,19.96,0,1.381,1,1,1400,0,0
14359,29.4,10.81,20.5,0,-0.472,1,0,100,0,0
45287,29.98,13.79,17.02,1,-0.584,0,1,700,1,0
7671,19.9,12.14,20.63,0,-1.189,1,1,900,1,0
1846,34.85,14.83,28.03,0,-1.741,0,0,500,1,0
54752,62.56,24.56,40.47,0,0.987,1,0,500,1,0
24244,29.95,13.29,31.2,0,-0.928,1,1,300,0,0
7012,33.32,15.02,15.23,0,-0.162,0,1,500,0,0
7556,32.34,22.76,29.07,0,0.129,1,1,500,0,1
7860,33.66,19.84,33.52,0,-0.779,0,1,700,0,0
47445,32.87,22.19,37.67,0,0.336,1,0,900,0,0
45134,54.99,23.34,32.94,0,0.71,1,1,500,0,0
7835,18.64,16.33,19.74,0,0.33,1,1,300,0,1
45078,64.32,23.06,31.95,0,0.812,0,1,500,0,0
45301,35.54,16.99,24.99,1,-1.034,1,1,700,0,0
24127,23.67,16.18,15.68,1,-0.678,0,1,500,0,1
68111,38.14,22.16,30.82,0,0.17,0,1,1100,0,0
7475,59.77,26.6,40.52,0,0.505,0,1,700,0,0
7133,32.32,19.07,27.06,0,0.498,0,1,500,0,0
45509,41.12,18.64,26.2,0,0.254,0,1,900,0,0
26597,19.7,17.37,27.06,0,1.103,0,0,100,0,1
45900,50.03,15.57,43.83,1,0.498,1,1,700,1,0
25722,24.9,16.36,28.95,1,0.501,1,1,1400,1,0
7716,30.88,21.55,20.63,0,-0.794,1,1,500,0,1
45041,42.48,16.28,27.98,1,-1.539,1,1,100,1,0
26537,52.42,21.5,39.37,0,1.361,1,0,300,0,0
45338,37.17,17.33,35.68,0,0.204,1,1,100,0,1
7028,39.13,18.51,23.93,1,0.274,1,1,700,0,0
25454,30.8,16.93,28.24,0,-1.455,1,1,300,0,1
7298,27.78,13.26,17.39,1,-0.162,1,1,500,1,0
7103,49.82,24.42,27.73,1,-0.669,1,1,500,1,0
25256,32.49,18.81,30.84,1,-1.366,1,1,300,0,1
25983,34.11,14.09,26.42,0,-0.569,1,1,700,0,0
25076,29.69,15.71,20.23,0,0.264,0,1,900,1,0
7182,24.45,14.67,25.59,0,-0.072,1,1,300,0,0
45270,27.53,24.44,21.52,0,0.528,0,1,100,0,1
25088,58.98,23.3,38.96,0,1.081,1,1,700,0,0
7133,27,13.06,10.89,0,-0.163,0,1,500,0,0
45110,18.29,14.37,16.31,1,0.22,0,1,700,0,0
7133,21.79,14.03,13.99,0,-0.02,0,1,500,0,0
7314,29.84,14.53,15.23,0,0.41,0,1,300,0,0
54964,42.23,27.99,38.26,0,0.535,0,0,1400,1,0
8104,27.96,11.39,22.57,0,0.28,0,0,100,0,0
68023,35.72,25.57,29.13,0,-0.104,0,1,700,1,0
45985,27.77,12.9,20.05,1,0.613,1,1,700,0,0
45936,27.36,18.33,32.03,0,0.489,0,1,500,0,0
2861,37.05,14.73,28.03,0,0.761,1,0,500,0,0
7334,37.56,17.8,17.93,0,0.009,0,1,300,0,0
7835,55.44,27.62,43.83,0,0.791,1,1,300,0,1
7094,32.24,18.94,22.8,0,-0.065,1,1,1400,0,0
7451,20.6,10.97,28.02,1,-1.001,1,1,1400,1,0
68023,20.32,19.09,21.46,1,-1.217,0,1,700,1,0
26373,43.54,15.48,30.25,0,1.461,1,0,300,0,0
45271,55.17,20.03,31.09,1,0.087,1,1,500,1,0
2321,46.82,21,43.43,0,0.332,1,0,300,0,0
24138,30.91,12.98,22,0,0.997,1,1,700,1,0
7475,59.22,21.64,43.43,0,0.658,1,1,700,0,0
54888,38.47,24.98,38.66,0,1.156,0,0,700,1,0
46485,41.66,19.53,34.03,0,1.381,0,0,500,1,0
7000,31.89,12.04,16.88,1,-1.385,0,1,900,1,0
