schoolid,math,sci,read,minority,ses,female,public,schoolsize,urban,rural,filter_$
2666,21.93,13.7,17.76,0,-.321,1,1,700,0,1,0
2759,18.11,11.91,13.14,0,.548,1,0,700,0,0,0
6091,23.58,16.54,17.19,0,1.03,0,0,100,0,0,0
6442,28.21,18.06,14.27,0,-.448,0,0,300,0,0,0
6467,28.9,9.66,15.64,0,-1.105,0,0,100,0,1,0
7000,21.08,11.73,18.16,1,-.994,1,1,900,1,0,0
7000,31.89,12.04,16.88,1,-1.385,0,1,900,1,0,0
7000,24.13,14.72,21.88,1,-2.039,1,1,900,1,0,0
7011,21.64,14.05,14.09,0,-.434,1,1,300,0,1,0
7090,20.04,13.01,18.84,1,-.591,1,1,500,1,0,0
7103,21.71,17.05,16.02,0,.422,0,1,500,1,0,0
7105,20.08,12.57,15.92,1,-.768,1,1,900,1,0,0
7107,19.51,15.71,17.45,0,-.831,0,1,700,0,1,1
7108,26.96,15.56,14.64,0,.537,0,1,700,0,1,0
7108,21.88,13.16,18.66,0,-.868,0,1,700,0,1,0
7108,18.42,12.27,16.03,0,-.355,1,1,700,0,1,1
7109,18.11,11.13,17.58,0,-.993,1,1,500,0,1,0
7110,28.6,13.81,15.75,0,-.305,1,1,700,0,1,0
7117,19.67,11.17,11.47,0,.049,1,1,1400,1,0,0
7133,21.79,14.03,13.99,0,-.02,0,1,500,0,0,0
7133,20.04,16.82,16.46,0,-.998,0,1,500,0,0,0
7157,26.77,16.94,17.38,1,-1.851,0,1,700,1,0,0
7194,22,11.08,19.71,0,-.561,0,1,300,0,1,0
7220,27.54,12.21,16.75,1,-1.432,1,1,300,0,1,0
7230,20.59,10.8,15.85,1,-.62,0,1,700,1,0,0
7230,24.97,15.66,15.93,1,-1.364,0,1,700,1,0,0
7239,25.25,14.23,20.96,0,.199,1,1,500,0,0,0
7298,17.68,14.68,18.92,1,-1.073,0,1,500,1,0,0
7330,17.86,11.66,17.3,1,.684,0,1,700,1,0,0
7330,21.6,11.28,13.32,1,.337,0,1,700,1,0,0
7330,24.96,12.95,15.77,1,-1.491,1,1,700,1,0,0
7334,22.13,14.13,20.61,1,-1.852,1,1,300,0,0,0
7341,19.73,10.75,11.07,0,-.07,0,1,300,0,0,1
7348,17.95,11.17,15.43,1,-.411,1,1,300,1,0,0
7348,20.48,12.67,12.48,1,-1.455,0,1,300,1,0,0
7348,20.8,12.36,15.26,1,-.059,0,1,300,1,0,0
7369,23.78,12.19,17.52,0,-1.088,0,1,500,0,1,0
7398,27.99,13.3,18.27,0,-.493,0,1,700,0,0,0
7398,25.05,10.43,16.04,0,.17,0,1,700,0,0,0
7422,26.95,16.19,16.59,0,-.464,1,1,500,0,0,0
7438,17.01,14.2,16.44,1,-.672,1,1,1400,1,0,0
7438,21.67,14.16,21.41,1,-.286,0,1,1400,1,0,0
7439,21.44,14.57,23.36,0,-.398,1,1,700,0,0,0
7440,19,13.79,17.24,1,-1.085,1,1,300,0,1,0
7441,22.92,14.93,21.97,0,.708,0,1,300,0,1,0
7450,25.41,12.88,22.16,0,-.586,1,1,500,0,1,0
7463,21.66,12.96,15.79,1,-1.161,0,1,700,0,0,0
7471,19.45,11.93,18.91,0,-.905,0,1,500,0,0,0
7475,18.72,10.83,13.28,0,.287,0,1,700,0,0,0
7481,18.65,11.9,14.54,0,-.073,0,1,700,0,0,0
7514,23.07,11.03,17.41,0,-1.295,1,1,500,0,0,1
7538,23.97,14.51,18.14,0,.247,1,1,700,0,0,0
7547,21.33,15.39,16.27,0,-.514,1,1,1400,0,0,0
7616,18.21,15.93,16.58,1,-.417,1,1,1100,1,0,0
7625,22.45,17.9,14.14,0,-.54,1,1,700,0,1,0
7631,19.16,11.57,15.28,0,-.591,0,1,700,0,0,0
7658,24.56,15.56,15.71,1,-2.065,0,1,900,1,0,0
7662,17.71,12.64,19.27,1,-.589,1,1,900,1,0,0
7668,24.03,14.11,17.48,0,-1.375,1,1,500,0,0,0
7737,19.8,11.78,13.54,1,-.794,1,1,500,1,0,0
7772,21.67,11.39,15.09,0,-.769,1,1,500,0,0,0
7792,23.75,10.99,18.91,0,-.27,1,1,900,1,0,0
7793,18.99,11.1,12.91,0,-.675,0,1,500,0,1,0
7803,21.62,12.03,14.3,0,-.073,1,1,300,0,1,1
7829,29.69,12.6,18.21,1,-1.085,0,1,500,1,0,0
7829,22.57,13.16,12.3,1,-.415,0,1,500,1,0,0
7882,23.76,21.47,12.28,0,-.832,0,1,1400,0,0,0
7893,22.5,13.11,20,0,-1.741,0,1,500,0,0,0
7913,16.22,9.8,14.84,1,-1.002,1,1,900,0,0,0
7941,21.85,14.48,20.65,0,.797,0,1,500,0,0,0
7979,24.96,13.92,19.12,0,-.322,1,1,700,0,0,0
7984,21.8,14.32,15.68,0,-.469,0,1,900,0,1,0
7989,19.98,10.67,24.29,0,-.65,1,1,500,0,0,0
7989,22.61,11.05,10.77,0,-.529,0,1,500,0,0,0
8046,28.54,10.68,18.51,0,-.936,1,0,100,0,0,0
8399,23.52,11.6,21.32,1,-.9,1,0,300,0,0,0
8700,22.69,14.66,15.05,1,-.482,0,0,500,0,0,0
8700,21.8,12.96,17.78,1,-.561,1,0,500,0,0,0
